,title,subtitle,price_unit,price,price_unit_2,price_2,type_size,bedrooms,suite,parking,description
61,"Avenida das Araucárias, SUL, AGUAS CLARAS",", Blend Apartments Hplus Long Stay",R$,1.800,m² R$,52,Aluguel Apartamento 34 m²,1 Quarto,1 Suíte,1 Vaga,"Blend Residence - Águas Claras Apartamento 34m2 com 01 quarto sendo suíte, sala e cozinha americana. A unidade possui ... 21/08/22"
62,"QI 27, GUARA II, GUARA",,R$,2.600,m² R$,36,Aluguel Apartamento 72 m²,3 Quartos,1 Suíte,1 Vaga,"AP13346 - Apartamento para alugar com 3 quartos, 72m² - Qi 27 Lote 08 - Regional, Guara II - Df Para agendar visita, co... 21/08/22"
63,"SGCV Lote 11, PARK SUL, BRASILIA",", Park Studios",R$,1.300,m² R$,39,Aluguel Kitnet 33 m²,1 Quarto,,,"ROYAL PREMIUM aluga linda kitnet no Park Studios com 33,00 m², semimobiliada, 4º andar, nascente, 1 vaga, e área de laze... 21/08/22"
64,"SCES Trecho 4, ASA SUL, BRASILIA",Brisas do Lago,R$,5.600,m² R$,87,Aluguel Apartamento 64 m²,1 Quarto,1 Suíte,1 Vaga,NJ Imoveis aluga camarote térreo no Brisas do Lago. Condomínio e IPTU inclusos no valor do aluguel. Apartamento com v... 21/08/22
65,"SQN 309 Bloco O, ASA NORTE, BRASILIA",", ED. TOM JOBIM",R$,4.500,m² R$,34,Aluguel Apartamento 130 m²,3 Quartos,1 Suíte,1 Vaga,"3 QUARTOS, SUÍTE - SQN 309 BL O ED.TOM JOBIM C/ VAGA (504) - ASA NORTE Top Line Prime imóveis Exclusivos para client... 21/08/22"
66,"CA 09, LAGO NORTE, BRASILIA",Condomínio Liberty 03,R$,2.200,m² R$,35,Aluguel Apartamento 62 m²,2 Quartos,1 Vaga,,Apartamento duplex com 02 quartos. Disponível pra ALUGUEL na Martins Andrade Consultoria Imobiliária! Quais caracterís... 21/08/22
67,"Rua 7, NORTE, AGUAS CLARAS",", Jardim Brasil Residencial",R$,2.900,m² R$,33,Aluguel Apartamento 87 m²,3 Quartos,1 Suíte,1 Vaga,"Oportunidade , excelente localização !! Venha desfrutar de todo o conforto e comodidade que este imóvel promove. -3 ... 21/08/22"
68,"SHCES Quadra 1311, NOVO, CRUZEIRO",Bloco F,R$,2.800,m² R$,41,Aluguel Apartamento 68 m²,2 Quartos,,,"Cruzeiro Novo Quadra 1311 - Dois quartos, vazado e com ótima reforma. Apartamento em ótima quadra no Cruzeiro Novo, pró... 21/08/22"
69,"SQNW 102, NOROESTE, BRASILIA",,R$,17.000,m² R$,106,Aluguel Apartamento 160 m²,3 Quartos,3 Suítes,,"Magnífico apartamento no Parque das Tulipas, 160 m², nascente com vista para o Parque Burle Marx. São 3 quartos, todos m... 21/08/22"
70,"SQS 313 Bloco K, ASA SUL, BRASILIA",,R$,8.000,m² R$,38,Aluguel Apartamento 210 m²,4 Quartos,1 Suíte,2 Vagas,"ALUGO MARAVILHOSO 4 QUARTOS NA SQS 313, BLOCO K! (os móveis e utensílios nas fotos não necessariamente permanecerão, fic... 21/08/22"
71,"Quadra QC 14 Conjunto B Bloco 08, PARQUE DAS FLORES, VALPARAISO DE GOIAS",,R$,600,m² R$,13,Aluguel Apartamento 43 m²,2 Quartos,1 Vaga,,"APARTAMENTO 02 QUARTOS NA CIDADE JARDINS ETAPA B - VALPARAÍSO-GO Imóvel composto de 02 quartos, sala, cozinha com área ... 21/08/22"
72,"SQS 313 Bloco H, ASA SUL, BRASILIA",,R$,11.900,m² R$,56,Aluguel Apartamento 209 m²,3 Quartos,1 Suíte,2 Vagas,"313 sul .. Apartamento com 3 quartos, 1 suíte, closet, dois banheiros sociais, dependência de empregada, escritório, lav... 21/08/22"
73,"CRS 502 Bloco B, ASA SUL, BRASILIA",,R$,2.000,m² R$,33,Aluguel Apartamento 59 m²,1 Quarto,1 Vaga,,"AP13448 - Apartamento para alugar com 1 quarto, 59m² - Scrs Qd 502 - Asa Sul, Df Para agendar visita, copie e cole o li... 21/08/22"
74,"SOF SUL Quadra 13 Conjunto B, SOF SUL, SETOR INDUSTRIAL","PARK SUL, Park Sul Ilhas Maurício",R$,70.900,m² R$,585,Aluguel Apartamento 121 m²,4 Quartos,2 Suítes,,"Apartamento 4 quartos Park Sul Ilhas Maurício 4 quartos 2 suítes com armários, cama, criado e cortinas 2 semi suítes ... 21/08/22"
75,"Rua 33, SUL, AGUAS CLARAS",", Le Club",R$,2.000,m² R$,55,Aluguel Apartamento 36 m²,1 Quarto,1 Vaga,,JDM IMOBILIÁRIA ALUGA: Apartamento no Residencial Le Club | Águas Claras - 01 quarto - 01 banheiro social - Cozinha c... 21/08/22
76,"SQS 316 Bloco B, ASA SUL, BRASILIA",,R$,5.500,m² R$,34,Aluguel Apartamento 158 m²,3 Quartos,1 Suíte,1 Vaga,"Alugamos apartamento de 3 quartos sendo uma suíte, andar alto, nascente, garagem, dependência, vista livre, próximo ao a... 21/08/22"
77,"Rua 4, SUL, AGUAS CLARAS",,R$,4.000,m² R$,39,Aluguel Apartamento 101 m²,3 Quartos,1 Suíte,2 Vagas,"COELHO IMÓVEIS CONSULTORIA PRIME ALUGA: Quer morar bem, com conforto e espaço? Lindo apartamento no Residencial Oscar F... 21/08/22"
78,"SQS 115, ASA SUL, BRASILIA",,R$,5.250,m² R$,35,Aluguel Apartamento 150 m²,2 Quartos,2 Suítes,1 Vaga,Lindo apartamento Excelente localização ! Pronto para morar composto de Hall Living Banheiro Social 02 ... 21/08/22
79,"CCSW 2 Lote 4, SUDOESTE, BRASILIA",LÍnea Studio Home,R$,3.000,m² R$,52,Aluguel Apartamento 57 m²,2 Quartos,1 Vaga,,Apartamento disponível para locação no Ed. Linea Studio Home localizado na CCSW do Setor Sudoeste. - Características do... 21/08/22
80,"Praça 820 A QS 07, AREAL, AGUAS CLARAS",,R$,1.000,m² R$,37,Aluguel Apartamento 27 m²,1 Quarto,1 Vaga,,A J.Fleury ALUGA LINDO apartamento com armários no Ed. Portal do Sul ao lado da UNIVERSIDADE CATÓLICA DE BRASÍLIA!! Des... 21/08/22
81,"SQS 207, ASA SUL, BRASILIA",,R$,8.000,m² R$,49,Aluguel Apartamento 163 m²,3 Quartos,1 Suíte,1 Vaga,"*** Imóvel disponível para locação em 1 de Julho 2022 *** Situado na belíssima quadra SQS 207, icónica e muito tranqu... 21/08/22"
82,"Quadra 204, SUL, AGUAS CLARAS",,R$,3.300,m² R$,32,Aluguel Apartamento 101 m²,3 Quartos,1 Suíte,1 Vaga,"Sala ampla com varanda; 03 quartos, sendo 01 suíte com varanda e armário; Escritório com estante e móvel para computador... 21/08/22"
83,"Quadra 106, NORTE, AGUAS CLARAS",,R$,3.600,m² R$,25,Aluguel Apartamento 142 m²,3 Quartos,2 Suítes,2 Vagas,"A Atalaia Empreendimentos Imobiliários, aluga COM EXCLUSIVIDADE: Apartamento Excelente - 3 Quartos em Águas Claras - Re... 21/08/22"
84,"SQN 410 Bloco K, ASA NORTE, BRASILIA",,R$,3.400,m² R$,44,Aluguel Apartamento 76 m²,3 Quartos,1 Suíte,,"Bloco e apartamento reformados! Esse Imóvel possui: 3 quartos, sendo um suíte Banheiro Social Sala para 2 ambientes Cozi... 21/08/22"
85,"CRS 516 Bloco C, ASA SUL, BRASILIA",,R$,1.500,m² R$,44,Aluguel Apartamento 34 m²,1 Quarto,,,"AP12502 - Apartamento para alugar com 1 quarto, 34m² - Scrs 516 - Jardim Tropical - Asa Sul, Brasília - DF Para agendar... 21/08/22"
86,"SQN 104 Bloco G, ASA NORTE, BRASILIA",,R$,4.600,m² R$,38,Aluguel Apartamento 120 m²,3 Quartos,1 Suíte,1 Vaga,"SALA, 03 QUARTOS COM ARMÁRIO SENDO 01 SUÍTE COM ARMÁRIO E BOX BLINDEX, CLOSET, WC SOCIAL COM ARMÁRIO E BOX BLINDEX, COZI... 21/08/22"
87,"SQS 107 Bloco G, ASA SUL, BRASILIA",,R$,3.300,m² R$,36,Aluguel Apartamento 90 m²,2 Quartos,,,"AP10916 - Apartamento 2 dormitórios 90m², Sqs 107 - Asa Sul, DF Para agendar visita, copie e cole o link abaixo em seu ... 21/08/22"
88,"QI 25 Lote 12/14, GUARA II, GUARA",,R$,2.000,m² R$,19,Aluguel Apartamento 104 m²,3 Quartos,,,"AP13552 - Apartamento para alugar com 3 quartos, 104m² - Qi 25 Lotes 12 e 14 - Mediterranée Residence, Guara II - Df Pa... 21/08/22"
89,"SQN 403 Bloco D, ASA NORTE, BRASILIA",,R$,3.200,m² R$,45,Aluguel Apartamento 70 m²,3 Quartos,1 Suíte,,"FRENTE UNB. SALA, 03 QUARTOS COM ARMÁRIOS E 02 QUARTOS COM AR CONDICIONADO, 01 SUÍTE, BANHEIRO COM BOX EM VIDRO TEMPERA... 21/08/22"
